species_id,longdecimal,latdecimal
MTHORN,146.9652226,-19.4664338
MTHORN,146.405345,-19.23466683
MTHORN,146.2652707,-19.01700884
MTHORN,146.1609012,-19.01622116
MTHORN,146.1567708,-19.01568727
MTHORN,146.166295,-19.01490811
MTHORN,146.2061251,-19.01476714
MTHORN,146.1696411,-19.01457072
MTHORN,146.2094526,-19.01432954
MTHORN,146.2668612,-19.0139787
MTHORN,146.2047106,-19.01250181
MTHORN,146.1737139,-19.0113899
MTHORN,146.2214001,-19.01134381
MTHORN,146.2244222,-19.01118481
MTHORN,146.2342352,-19.00948156
MTHORN,146.2304254,-19.00944767
MTHORN,146.2270462,-19.00876483
MTHORN,146.2108403,-19.00817224
MTHORN,146.2375309,-19.00765162
MTHORN,146.1726985,-19.00730067
MTHORN,146.2075909,-19.00618828
MTHORN,146.2102661,-19.00502492
MTHORN,146.2475019,-19.00454756
MTHORN,146.176446,-19.00450691
MTHORN,146.207698,-19.00363127
MTHORN,146.2025699,-19.00315739
MTHORN,146.2449817,-19.00300099
MTHORN,146.2415251,-19.00261633
MTHORN,146.2052631,-19.00221106
MTHORN,146.2082595,-19.00141961
MTHORN,146.247205,-19.00085923
MTHORN,146.1615105,-18.99702953
MTHORN,146.1634999,-18.99434553
MTHORN,146.1659144,-18.98070162
MTHORN,146.1592786,-18.97796052
MTHORN,146.1628154,-18.97353037
MTHORN,146.1659297,-18.97189066
MTHORN,146.1624324,-18.96844084
MTHORN,146.1574424,-18.96530047
MTHORN,146.1373652,-18.95005318
MTHORN,146.1443497,-18.94930836
MTHORN,146.139385,-18.9488245
MTHORN,146.1418936,-18.94671245
MTHORN,146.1919688,-18.94566319
MTHORN,146.1860336,-18.94554686
MTHORN,146.1891267,-18.94420486
MTHORN,146.1859591,-18.94327825
MTHORN,146.1860555,-18.94102845
MTHORN,146.1482446,-18.93975617
MTHORN,146.1673186,-18.93893907
MTHORN,146.1602775,-18.9359161
MTHORN,146.1457033,-18.93527119
MTHORN,146.164356,-18.93503081
MTHORN,146.1429618,-18.93280954
MTHORN,145.8791939,-18.67194782
MTHORN,145.8735053,-18.67191378
MTHORN,145.8718728,-18.64635747
MTHORN,145.8738503,-18.64405595
MTHORN,145.856447,-18.641014
MTHORN,145.8736565,-18.64038592
MTHORN,145.85382,-18.63835932
MTHORN,145.8722886,-18.63506418
MTHORN,145.8489341,-18.63473292
MTHORN,145.824665,-18.60474419
MTHORN,145.7990835,-18.60367915
MTHORN,145.8161544,-18.60197993
MTHORN,145.8123637,-18.60195606
MTHORN,145.8029311,-18.5955708
MTHORN,145.8048516,-18.5919684
MTHORN,145.8048705,-18.58925756
MTHORN,145.7785678,-18.55541911
MTHORN,145.7773215,-18.54416064
MTHORN,145.7721241,-18.5330211
MTHORN,145.7671774,-18.5266453
MTHORN,145.7645918,-18.52393555
MTHORN,145.7617631,-18.52210975
MTHORN,145.758928,-18.52118751
MTHORN,145.764413,-18.51981375
MTHORN,145.7486817,-18.50902924
MTHORN,145.7503224,-18.50613939
MTHORN,145.7528597,-18.50105958
MTHORN,145.7621588,-18.48947262
MTHORN,145.7488105,-18.47955322
MTHORN,145.746988,-18.4762248
MTHORN,145.7417489,-18.46872597
MTHORN,145.7359097,-18.4617652
MTHORN,145.7347582,-18.4586761
MTHORN,145.7243693,-18.45499192
MTHORN,145.7158746,-18.45132003
MTHORN,146.2912619,-18.42180744
MTHORN,145.9456667,-18.41945
MTHORN,145.9437333,-18.41801667
MTHORN,145.9435167,-18.41445
MTHORN,146.2794624,-18.41317726
MTHORN,146.2832588,-18.4109322
MTHORN,145.9454833,-18.4097
MTHORN,145.7709167,-18.40946667
MTHORN,145.7458833,-18.39811667
MTHORN,145.7437833,-18.38608333
MTHORN,145.7455833,-18.37176667
MTHORN,145.7426667,-18.37015
MTHORN,145.7388333,-18.36965
MTHORN,146.2498835,-18.3609517
MTHORN,146.2452472,-18.36059899
MTHORN,145.8040184,-18.24248835
MTHORN,145.7994296,-18.24139329
MTHORN,145.8019978,-18.24063221
MTHORN,146.00135,-18.23905
MTHORN,145.7990142,-18.23715242
MTHORN,146.0004333,-18.23646667
MTHORN,145.8035676,-18.22958998
MTHORN,145.8113845,-18.22737941
MTHORN,145.8076941,-18.22631725
MTHORN,145.8054897,-18.22508356
MTHORN,145.7972869,-18.21463992
MTHORN,145.7861617,-18.21398243
MTHORN,145.7989571,-18.21239118
MTHORN,145.7788035,-18.21148675
MTHORN,145.8013794,-18.2107797
MTHORN,145.7844556,-18.21048342
MTHORN,145.7618865,-18.20755576
MTHORN,145.7645544,-18.2060096
MTHORN,145.759158,-18.20429394
MTHORN,145.7602666,-18.20130091
MTHORN,145.8359119,-18.20087102
MTHORN,145.8396999,-18.19999026
MTHORN,145.7459919,-18.19300284
MTHORN,145.7493582,-18.19161507
MTHORN,145.7447552,-18.19010301
MTHORN,145.7411213,-18.18792848
MTHORN,145.7424451,-18.18130422
MTHORN,145.6056188,-18.17900421
MTHORN,145.6337713,-18.17053157
MTHORN,145.7255172,-18.16899315
MTHORN,145.7226847,-18.16852251
MTHORN,145.7271862,-18.16697096
MTHORN,145.7284244,-18.16438562
MTHORN,145.7256324,-18.1635448
MTHORN,145.7243663,-18.16085251
MTHORN,145.7255305,-18.15804982
MTHORN,145.8178787,-18.15622687
MTHORN,145.8145651,-18.15556485
MTHORN,145.807419,-18.1527373
MTHORN,145.6926096,-18.15129536
MTHORN,145.6982319,-18.15026717
MTHORN,145.8039668,-18.14886615
MTHORN,145.6993708,-18.14709399
MTHORN,146.0680167,-17.90888333
MTHORN,146.0690167,-17.90501667
MTHORN,146.0712833,-17.90236667
MTHORN,146.0687833,-17.86915
MTHORN,146.0661333,-17.86811667
MTHORN,146.0628333,-17.8671
MTHORN,145.6940816,-17.8126534
MTHORN,145.5351139,-17.77618549
MTHORN,145.6486448,-17.77401965
MTHORN,145.535905,-17.77284792
MTHORN,145.5379931,-17.77008029
MTHORN,145.5350262,-17.76958824
MTHORN,145.5792321,-17.76957043
MTHORN,145.5425874,-17.76761143
MTHORN,145.624508,-17.7567632
MTHORN,145.5257729,-17.74783143
MTHORN,145.5293183,-17.7467285
MTHORN,145.5336776,-17.74641775
MTHORN,145.5666708,-17.7456857
MTHORN,145.5670394,-17.74320334
MTHORN,145.5663896,-17.73954783
MTHORN,145.5662158,-17.73650123
MTHORN,145.5311382,-17.72360883
MTHORN,145.5287971,-17.72047372
MTHORN,145.8539538,-17.72020047
MTHORN,145.8570754,-17.72014637
MTHORN,145.8594433,-17.71700607
MTHORN,145.86284,-17.71670041
MTHORN,145.5269863,-17.70435718
MTHORN,145.5252242,-17.70193123
MTHORN,145.519902,-17.70136712
MTHORN,145.523086,-17.69939401
MTHORN,145.7140019,-17.67465474
MTHORN,145.6556975,-17.67442783
MTHORN,145.7163396,-17.67203118
MTHORN,145.6521899,-17.67200003
MTHORN,145.651311,-17.66977093
MTHORN,145.7173752,-17.6695708
MTHORN,145.6476664,-17.66803796
MTHORN,145.8747877,-17.66214659
MTHORN,145.8720673,-17.65999818
MTHORN,145.8679682,-17.65673924
MTHORN,145.637848,-17.64744758
MTHORN,145.6387285,-17.64316115
MTHORN,145.6342848,-17.63874753
MTHORN,145.6706461,-17.62081363
MTHORN,145.6673863,-17.61940899
MTHORN,145.6660293,-17.61426682
MTHORN,145.562677,-17.61346004
MTHORN,145.5598501,-17.61343944
MTHORN,145.7928167,-17.61334769
MTHORN,145.7648639,-17.61070761
MTHORN,145.5630024,-17.6104532
MTHORN,145.5575969,-17.60883238
MTHORN,145.7773282,-17.60843549
MTHORN,145.7678862,-17.60834065
MTHORN,145.7741659,-17.60782846
MTHORN,145.7717071,-17.60771377
MTHORN,145.6390648,-17.60586822
MTHORN,145.6316353,-17.60389203
MTHORN,145.6335897,-17.60213433
MTHORN,145.6381632,-17.60043986
MTHORN,145.7578196,-17.60035191
MTHORN,145.6360608,-17.59933189
MTHORN,145.7557749,-17.59895634
MTHORN,145.6466569,-17.59869085
MTHORN,145.7550365,-17.59669238
MTHORN,145.7583352,-17.59660469
MTHORN,145.5841759,-17.59481899
MTHORN,145.5747015,-17.59422675
MTHORN,145.5731316,-17.59135982
MTHORN,145.585516,-17.58970476
MTHORN,145.700047,-17.58695773
MTHORN,145.6998389,-17.58443501
MTHORN,145.6920478,-17.57640387
MTHORN,145.6977072,-17.5755375
MTHORN,145.6930094,-17.5736991
MTHORN,145.5461566,-17.55821564
MTHORN,145.5433451,-17.55638765
MTHORN,145.552341,-17.548167
MTHORN,145.554765,-17.5442176
MTHORN,145.8580286,-17.4393191
MTHORN,145.4865371,-17.43279395
MTHORN,145.7645235,-17.40190628
MTHORN,145.7657635,-17.39949192
MTHORN,145.7689113,-17.39890586
MTHORN,145.7461066,-17.38742191
MTHORN,145.8013769,-17.38737276
MTHORN,145.7423681,-17.3835575
MTHORN,145.7397981,-17.38087527
MTHORN,145.7628676,-17.37939275
MTHORN,145.7657107,-17.37647317
MTHORN,145.7196059,-17.37460144
MTHORN,145.7680802,-17.37400248
MTHORN,145.7212811,-17.37054536
MTHORN,145.722241,-17.3678403
MTHORN,145.5846545,-17.35635812
MTHORN,145.8659112,-17.34430526
MTHORN,145.8687371,-17.34386937
MTHORN,145.8588606,-17.34313545
MTHORN,145.8644269,-17.3347168
MTHORN,145.8597741,-17.33235861
MTHORN,145.5071778,-17.33113356
MTHORN,145.5047987,-17.33098025
MTHORN,145.7016659,-17.31596902
MTHORN,145.4253206,-17.27729986
MTHORN,145.8990648,-17.27155464
MTHORN,145.9011721,-17.26993935
MTHORN,145.8688896,-17.26814237
MTHORN,145.8575567,-17.26628874
MTHORN,145.8522839,-17.26559893
MTHORN,145.8626445,-17.26339839
MTHORN,145.8548889,-17.26264035
MTHORN,145.8582558,-17.26121346
MTHORN,145.7631831,-17.2266604
MTHORN,145.7582099,-17.22077342
MTHORN,145.6707577,-17.22035063
MTHORN,145.6842591,-17.21667073
MTHORN,145.3298668,-17.20591093
MTHORN,145.3270627,-17.20408043
MTHORN,145.8778473,-17.18515232
MTHORN,145.8937019,-17.10224376
MTHORN,145.8833964,-17.0967644
MTHORN,145.8815277,-17.09494649
MTHORN,145.8796805,-17.08951347
MTHORN,145.8778173,-17.08679175
MTHORN,145.8665789,-17.08040263
MTHORN,145.8637599,-17.08038686
MTHORN,145.8666226,-17.07317247
MTHORN,145.8694579,-17.07047688
MTHORN,145.8704193,-17.06686703
MTHORN,145.6416046,-16.84853819
MTHORN,145.6432615,-16.79374525
MTHORN,145.6469116,-16.78972946
MTHORN,145.6308567,-16.78609866
MTHORN,145.5879205,-16.75503618
MTHORN,145.5916832,-16.75487212
MTHORN,145.6046587,-16.75321607
MTHORN,145.5826106,-16.75133056
MTHORN,145.5738633,-16.73438836
MTHORN,145.2724046,-16.60000119
MTHORN,145.3386099,-16.59619409
MTHORN,145.2731222,-16.58995863
MTHORN,145.2700025,-16.58881219
MTHORN,145.3025022,-16.5875979
MTHORN,145.2964068,-16.58702396
MTHORN,145.2701732,-16.58544302
MTHORN,145.2993459,-16.58527684
MTHORN,145.303007,-16.58453862
MTHORN,145.3072664,-16.57860013
MTHORN,145.3127592,-16.57840977
MTHORN,145.3036762,-16.57767628
MTHORN,145.3094228,-16.57739771
MTHORN,145.2639718,-16.57372535
MTHORN,145.3344219,-16.57320739
MTHORN,145.2653934,-16.57192992
MTHORN,145.3582232,-16.56874246
MTHORN,145.4095122,-16.56585097
MTHORN,145.273656,-16.5647694
MTHORN,145.2766799,-16.55662546
MTHORN,145.4053789,-16.55571603
MTHORN,145.3443135,-16.55497782
MTHORN,145.2794797,-16.55469671
MTHORN,145.2807865,-16.55102963
MTHORN,145.3661846,-16.53911001
MTHORN,145.3803529,-16.53656364
MTHORN,145.3677961,-16.53576091
MTHORN,145.3708313,-16.53356156
MTHORN,145.373251,-16.53213454
MTHORN,145.3934359,-16.5315318
MTHORN,145.2755187,-16.51648475
MTHORN,145.2708178,-16.51421387
MTHORN,145.2694337,-16.51080469
MTHORN,145.3322969,-16.47584668
MTHORN,145.3301258,-16.47346174
MTHORN,145.3237472,-16.47135942
MTHORN,145.3284301,-16.4713336
MTHORN,145.3203315,-16.4710519
MTHORN,145.3264474,-16.46883266
MTHORN,145.2025227,-16.45325716
MTHORN,145.3434805,-16.42718176
MTHORN,145.3367988,-16.40031661
MTHORN,145.4074421,-16.32695801
MTHORN,145.0550757,-16.2933914
MTHORN,145.0904224,-16.28658435
MTHORN,145.0853886,-16.28471358
MTHORN,145.0818718,-16.28461846
MTHORN,145.3428994,-16.26074427
MTHORN,145.0495646,-16.25936626
MTHORN,145.0437955,-16.25913233
MTHORN,145.4349533,-16.24725597
MTHORN,145.0229768,-16.24570179
MTHORN,145.0186876,-16.24250831
MTHORN,145.4343167,-16.24236667
