species_id,longdecimal,latdecimal
MTHORN,146.9679145,-19.48922615
MTHORN,146.1625047,-19.01667124
MTHORN,146.1567708,-19.01568727
MTHORN,146.166295,-19.01490811
MTHORN,146.1731058,-19.00562162
MTHORN,146.2052631,-19.00221106
MTHORN,146.1666733,-18.99999889
MTHORN,146.1620432,-18.99688735
MTHORN,146.1719435,-18.99666985
MTHORN,146.1688981,-18.99583384
MTHORN,146.1833328,-18.98332769
MTHORN,146.1594396,-18.97806066
MTHORN,146.1628154,-18.97353037
MTHORN,146.1638546,-18.96895333
MTHORN,146.1441868,-18.95704323
MTHORN,146.1443497,-18.94930836
MTHORN,146.1418936,-18.94671245
MTHORN,146.1919688,-18.94566319
MTHORN,146.1873454,-18.94332951
MTHORN,146.1481682,-18.9417078
MTHORN,146.1673186,-18.93893907
MTHORN,146.1485189,-18.9381127
MTHORN,146.1650209,-18.9369135
MTHORN,146.144341,-18.93423471
MTHORN,145.875139,-18.71168458
MTHORN,145.8782428,-18.67239398
MTHORN,145.8199327,-18.60381094
MTHORN,145.8040184,-18.24248835
MTHORN,145.8019978,-18.24063221
MTHORN,145.7984863,-18.23965231
MTHORN,145.7990142,-18.23715242
MTHORN,145.8090265,-18.22646109
MTHORN,145.7645544,-18.2060096
MTHORN,145.7450689,-18.19381914
MTHORN,145.7447552,-18.19010301
MTHORN,145.7411213,-18.18792848
MTHORN,145.5908259,-17.85693846
MTHORN,145.5385701,-17.76871106
MTHORN,145.5425874,-17.76761143
MTHORN,145.5238814,-17.74849494
MTHORN,145.5336776,-17.74641775
MTHORN,145.5666708,-17.7456857
MTHORN,145.5666634,-17.74187222
MTHORN,145.53714,-17.74159103
MTHORN,145.5409338,-17.73890834
MTHORN,145.5272943,-17.71744428
MTHORN,145.6919343,-17.70705153
MTHORN,145.5267359,-17.70615356
MTHORN,145.5252242,-17.70193123
MTHORN,145.521643,-17.70061212
MTHORN,145.5238012,-17.69954396
MTHORN,145.5219314,-17.69646656
MTHORN,145.6988191,-17.68848101
MTHORN,145.5208264,-17.68750312
MTHORN,145.7124654,-17.67597315
MTHORN,145.651311,-17.66977093
MTHORN,145.6692545,-17.62038855
MTHORN,145.6667117,-17.61757896
MTHORN,145.6660293,-17.61426682
MTHORN,145.5598501,-17.61343944
MTHORN,145.6316353,-17.60389203
MTHORN,145.6335897,-17.60213433
MTHORN,145.6360608,-17.59933189
MTHORN,145.545189,-17.55787418
MTHORN,145.4749954,-17.55027939
MTHORN,145.5371203,-17.54556105
MTHORN,145.6059357,-17.51440119
MTHORN,145.6066669,-17.5024957
MTHORN,145.610668,-17.49898128
MTHORN,145.4916714,-17.46666577
MTHORN,145.4776861,-17.46591761
MTHORN,145.4750029,-17.46249933
MTHORN,145.5023695,-17.44108271
MTHORN,145.5383505,-17.44000363
MTHORN,145.61667,-17.44000285
MTHORN,145.5572207,-17.4383339
MTHORN,145.5043413,-17.43132895
