spp,taxa,obsDen_HS_spearman,obsDen_HS_deviance_explained_gam,pot_dispersal2,log_mass,realized_dist,sensitivity,specificity,log_presence
ASW,bird,0.75,0.623,3,2.4765384,8.985382676,99.34,93.81,5.017279837
AUSFRYI,frog,0.7,0.663,1,0.875468737,8.557432616,94.931,94.45,5.379897354
AUSPLUV,frog,0.58,0.468,1,0.09531018,9.412595266,95.706,87.96,5.093750201
AUSROBU,frog,0.7,0.449,1,0.530628251,9.180623157,96.753,90.339,5.789960171
BHE,bird,0.78,0.501,4,3.594568775,9.416321488,93.593,88.809,6.079933195
BST,bird,0.71,0.492,5,3.666122467,8.890355469,96.165,90.381,5.826000107
CARLAEV,reptile,0.67,0.45,1,3.086486637,8.99113904,94.962,88.729,4.510859507
CARRUBR,reptile,0.49,0.37,1,1.193922468,9.674583692,90.431,98.287,5.342334252
CC,bird,0.7,0.61,4,5.05305601,9.312156614,95.466,88.052,5.983936281
COPAENI,frog,0.66,0.899,1,-0.510825624,7.054881344,100,97.707,4.356708827
COPBOMB,frog,0.4,0.839,1,-1.203972804,8.147201399,100,97.31,3.80666249
COPCONC,frog,0.48,0.913,1,0.182321557,5.098646171,100,99.889,3.295836866
COPEXIG,frog,0.28,0.99,1,-0.916290732,6.821434573,100,99.81,2.995732274
COPHOSM,frog,0.46,0.91,1,-1.203972804,6.061689992,97.826,99.293,3.828641396
COPINFA,frog,0.61,0.623,1,-0.693147181,9.078635881,100,90.796,4.753590191
COPMONT,frog,0.31,0.95,1,-0.510825624,5.310739887,100,99.795,2.708050201
COPNEGL,frog,0.38,0.921,1,0.587786665,5.497577977,100,99.544,2.397895273
COPORNA,frog,0.35,0.12,1,0,9.371182897,93.501,94.986,6.244166901
EULTIGR,reptile,0.55,0.64,1,2.370243741,9.221191287,100,95.393,3.784189634
FW,bird,0.74,0.5,3,2.809402695,9.123212625,98.98,87.25,5.686975356
GLAFUSC,reptile,0.63,0.6,1,2.174751721,9.107709461,100,97.025,3.828641396
GLAMJOB,reptile,0.45,0.693,1,2.240709689,8.424178375,100,95.452,2.564949357
GNYQUEE,reptile,0.55,0.37,1,1.887069649,9.156886851,100,92.81,4.762173935
GOLDBB,bird,0.75,0.664,4,4.317488114,8.616766996,97.143,94.709,4.941642423
HEMLEMU,mammal,0.75,0.71,2,6.859090107,8.381419286,99.237,94.163,5.568344504
LAMCOGG,reptile,0.6,0.36,1,0.182321557,9.228003457,100,90.96,4.762173935
LAMROBE,reptile,0.53,0.76,1,0.693147181,7.875271303,100,99.605,2.995732274
LITGENI,frog,0.21,0.104,2,2.708050201,9.69931908,96.959,95.661,5.690359454
LITJUNG,frog,0.6,0.43,2,2.406945108,8.870002674,95.906,94.551,5.141663557
LITNANN,frog,0.41,0.29,2,2.312535424,9.644924056,96.959,95.661,5.105945474
LITRHEO,frog,0.62,0.612,2,0.832909123,9.556041321,99.038,96.248,5.33753808
LITXANT,frog,0.53,0.464,2,1.931521412,9.818800744,89.431,98.188,4.812184355
LSOWL,bird,0.36,0.19,2,6.204557763,9.701163268,95.906,94.551,4.8978398
MACHE,bird,0.59,0.17,3,3.490428515,9.899584947,91.533,85.39,6.079933195
MIXCARB,frog,0.52,0.68,2,3.653252276,7.336415945,100,95.189,2.833213344
MIXCOGG,frog,0.7,0.833,2,4.33073334,9.437388291,100,89.481,3.17805383
MIXSCHE,frog,0.6,0.322,2,3.972176928,9.514429608,96.45,91.22,5.135798437
MTHORN,bird,0.85,0.703,3,2.186051277,8.736087728,98.047,91.899,5.545177444
NYCDAYI,frog,0.43,0.7,2,1.85629799,9.714999019,94.083,97.089,5.129898715
PMON,bird,0.605,0.29,4,2.533696814,9.808753707,98.214,82.95,5.411646052
PSEARCH,mammal,0.7,0.51,2,6.995308176,8.94763705,97.846,93.142,5.783825182
PSECINE,mammal,0.66,0.93,2,6.907755279,7.441554966,98.974,99.139,5.272999559
PSEHERB,mammal,0.73,0.733,2,7.015263487,8.519530458,98.519,95.791,5.602118821
SALCORN,reptile,0.45,0.201,1,3.640214282,9.359492867,95.376,94.644,5.153291594
SAPBASI,reptile,0.45,0.202,1,0.405465108,9.642934147,97.059,95.721,4.912654886
SAPCZEC,reptile,0.67,0.752,1,-0.223143551,8.435570904,100,96.724,3.17805383
SAPLEWI,reptile,0.35,0.95,1,0.182321557,7.795193759,100,99.715,1.609437912
SAPTETR,reptile,0.78,0.593,1,-0.510825624,9.286059902,98.246,93.441,4.043051268
TBBB,bird,0.79,0.577,3,5.135798437,8.924722834,96.689,89.383,5.710427017
VRIF,bird,0.57,0.375,4,4.553876892,9.623654595,92.802,85.613,6.242223265
